RPM        CT      CP
 1046.667  0.077004  0.033361
 1520.000  0.089219  0.033981
 1980.000  0.092560  0.032209
 2520.000  0.096308  0.032248
 2980.000  0.098294  0.031959
 3460.000  0.099488  0.031795
 3960.000  0.099843  0.031623
 4453.333  0.101437  0.032206
 4953.333  0.102460  0.032376
 5500.000  0.102477  0.032353
 6000.000  0.102003  0.032672
 6473.333  0.103570  0.033065
 6966.667  0.104323  0.033306
 7546.667  0.105460  0.033643
