RPM        CT      CP
  966.667  0.053422  0.022164
 1526.667  0.060193  0.023132
 2026.667  0.063739  0.023761
 2526.667  0.067131  0.023965
 2980.000  0.068871  0.023634
 3520.000  0.070626  0.023662
 3986.667  0.071296  0.023458
 4473.333  0.071476  0.023149
 4960.000  0.072360  0.022984
 5480.000  0.073480  0.022632
 5960.000  0.073973  0.022540
 6453.333  0.074113  0.022454
 6940.000  0.074998  0.022297
 7446.667  0.074766  0.022030
