RPM        CT      CP
 1060.000  0.071796  0.018547
 1466.667  0.078379  0.026722
 2046.667  0.084051  0.031204
 2533.333  0.087369  0.032422
 2973.333  0.090500  0.032542
 3540.000  0.093397  0.032453
 4026.667  0.092870  0.032354
 4460.000  0.093316  0.032187
 4960.000  0.094331  0.032116
 5493.333  0.093934  0.032075
 5940.000  0.095205  0.032180
 6520.000  0.095307  0.032129
 6953.333  0.095048  0.032117
 7440.000  0.095842  0.032239
