RPM        CT      CP
  980.000  0.073866  0.030143
 1540.000  0.084541  0.029408
 2026.667  0.089267  0.028904
 2460.000  0.091007  0.028589
 2953.333  0.092014  0.028369
 3446.667  0.093638  0.028524
 3980.000  0.094392  0.028692
 4533.333  0.093622  0.028787
 4953.333  0.094381  0.029123
 5540.000  0.095177  0.029413
 5980.000  0.096625  0.029841
 6513.333  0.097815  0.030281
 6960.000  0.099331  0.030769
 7480.000  0.100331  0.031150
