RPM        CT      CP
 1020.000  0.094526  0.040400
 1453.333  0.099583  0.039474
 1966.667  0.100866  0.038464
 2480.000  0.107425  0.037777
 2940.000  0.108814  0.037226
 3460.000  0.108576  0.037279
 4000.000  0.108999  0.037693
 4480.000  0.110582  0.038191
 5000.000  0.111930  0.038637
 5480.000  0.113709  0.039376
 5973.333  0.115253  0.040268
 6453.333  0.117242  0.041376
