RPM        CT      CP
 1040.000  0.103194  0.119516
 1466.667  0.112101  0.125553
 1986.667  0.120332  0.132288
 2446.667  0.123159  0.134422
 2953.333  0.123457  0.133397
 3460.000  0.123092  0.131842
 3960.000  0.124377  0.132051
 4460.000  0.125719  0.133091
 4940.000  0.126140  0.133034
 5460.000  0.125498  0.131779
 5973.333  0.126341  0.131932
 6500.000  0.127540  0.132382
 6953.333  0.127529  0.132112
 7526.667  0.127787  0.132395
