RPM        CT      CP
  953.333  0.086443  0.048638
 1473.333  0.094825  0.050265
 1966.667  0.098018  0.047335
 2540.000  0.107138  0.045541
 3020.000  0.111786  0.045477
 3473.333  0.112747  0.044868
 3973.333  0.113685  0.044586
 4466.667  0.114056  0.044401
 4960.000  0.115011  0.044481
 5473.333  0.114755  0.044432
 5960.000  0.115119  0.044661
 6453.333  0.114509  0.044784
 7046.667  0.113788  0.044929
 7540.000  0.114544  0.045064
