RPM        CT      CP
 1040.000  0.091261  0.041460
 1440.000  0.098843  0.039840
 1973.333  0.100958  0.037668
 2473.333  0.103008  0.037012
 2960.000  0.105187  0.036915
 3513.333  0.106376  0.036262
 3960.000  0.108041  0.036563
 4506.667  0.107067  0.036715
 4960.000  0.107486  0.036802
 5486.667  0.109515  0.037232
 5946.667  0.109949  0.037405
 6453.333  0.111503  0.037869
 6940.000  0.112392  0.038293
 7360.000  0.113783  0.038765
