RPM        CT      CP
  960.000  0.087169  0.046442
 1520.000  0.094157  0.045547
 1960.000  0.096416  0.044667
 2426.667  0.100376  0.042746
 2966.667  0.102661  0.041540
 3526.667  0.105550  0.041048
 3953.333  0.109300  0.040574
 4440.000  0.110208  0.040180
 4953.333  0.111505  0.040022
 5426.667  0.114015  0.040508
 5966.667  0.113490  0.040183
 6520.000  0.114439  0.040849
 6986.667  0.113658  0.040838
 7473.333  0.113778  0.040864
