RPM        CT      CP
 1046.667  0.094379  0.033486
 1520.000  0.096831  0.031836
 1953.333  0.100459  0.032266
 2473.333  0.103155  0.032630
 2960.000  0.101882  0.032767
 3460.000  0.103518  0.033289
 3940.000  0.105564  0.033852
 4446.667  0.107202  0.034458
 4966.667  0.108334  0.035008
 5466.667  0.110798  0.036053
