RPM        CT      CP
 1053.333  0.089954  0.052897
 1526.667  0.097644  0.053306
 1973.333  0.105324  0.050862
 2506.667  0.111314  0.048931
 2993.333  0.111769  0.047475
 3486.667  0.114285  0.047482
 3960.000  0.113469  0.047573
 4446.667  0.114294  0.047337
 4960.000  0.113545  0.047449
 5493.333  0.113927  0.047805
 5980.000  0.113555  0.048175
 6453.333  0.112232  0.048615
 6960.000  0.113599  0.049148
 7446.667  0.113945  0.049526
