RPM        CT      CP
  973.333  0.075677  0.026827
 1493.333  0.082373  0.026029
 1953.333  0.085557  0.025885
 2446.667  0.088769  0.025939
 2960.000  0.088479  0.025679
 3460.000  0.088198  0.025643
 3960.000  0.089937  0.025967
 4446.667  0.091241  0.026248
 4953.333  0.092181  0.026452
 5446.667  0.093322  0.026812
 5946.667  0.094663  0.027197
